Hotel,Probability Booking
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,1.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
Resort Hotel,0.0
